env,gen,yield
10,1,63
11,1,72
12,1,69
13,1,55
14,1,52
15,1,67
16,1,63
17,1,55
18,1,66
19,1,57
20,1,69
21,1,73
22,1,68
23,1,64
24,1,67
25,1,70
26,1,70
10,2,64
11,2,82
12,2,76
13,2,53
14,2,59
15,2,62
16,2,74
17,2,54
18,2,66
19,2,54
20,2,64
21,2,69
22,2,66
23,2,79
24,2,66
25,2,66
26,2,65
5,3,75
6,3,72
7,3,55
8,3,52
9,3,79
10,3,72
11,3,83
12,3,78
13,3,40
14,3,54
15,3,65
16,3,73
1,4,66
2,4,59
3,4,67
4,4,55
5,4,85
6,4,77
7,4,51
8,4,49
9,4,80
10,4,65
11,4,88
12,4,86
13,4,63
14,4,53
15,4,68
16,4,63
17,4,52
26,4,60
1,5,49
2,5,40
3,5,57
4,5,53
5,5,74
6,5,71
7,5,46
8,5,44
9,5,62
10,5,51
11,5,72
12,5,70
13,5,60
14,5,51
15,5,65
16,5,59
17,5,51
18,5,66
